etf,component,etf_market,component_market,replace_type,quantity,amount
515881,000063,SH,SZ,3,3300,128436.0
515881,000070,SH,SZ,3,1100,10208.0
515881,000836,SH,SZ,3,2800,9856.0
515881,002052,SH,SZ,2,1700,2652.0
515881,002115,SH,SZ,3,1200,10956.0
515881,002151,SH,SZ,3,700,23632.0
515881,002231,SH,SZ,3,500,3325.0
515881,002281,SH,SZ,3,900,27342.0
515881,002296,SH,SZ,3,900,6489.0
515881,002313,SH,SZ,3,500,9515.0
515881,002316,SH,SZ,3,600,3570.0
515881,002369,SH,SZ,3,1300,11739.0
515881,002383,SH,SZ,3,1000,10110.0
515881,002396,SH,SZ,3,900,30348.0
515881,002446,SH,SZ,3,1400,10108.0
515881,002465,SH,SZ,3,4200,52122.0
515881,002491,SH,SZ,3,1700,8908.0
515881,002519,SH,SZ,3,1300,5616.0
515881,002547,SH,SZ,3,1800,13770.0
515881,002583,SH,SZ,3,2100,15204.0
515881,002792,SH,SZ,3,300,7434.0
515881,002897,SH,SZ,3,200,6496.0
515881,002902,SH,SZ,3,200,3952.0
515881,300079,SH,SZ,3,3300,16665.0
515881,300083,SH,SZ,3,2300,11822.0
515881,300098,SH,SZ,3,2800,17024.0
515881,300134,SH,SZ,3,900,12951.0
515881,300136,SH,SZ,3,1800,86220.0
515881,300213,SH,SZ,3,800,4960.0
515881,300250,SH,SZ,3,400,5200.0
515881,300252,SH,SZ,3,700,6601.0
515881,300292,SH,SZ,3,2300,12259.0
515881,300322,SH,SZ,3,700,11690.0
515881,300353,SH,SZ,3,800,9480.0
515881,300504,SH,SZ,3,200,5162.0
515881,300565,SH,SZ,3,200,2380.0
515881,300615,SH,SZ,3,100,1613.0
515881,300628,SH,SZ,3,600,37590.0
515881,300638,SH,SZ,3,200,10668.0
515881,300731,SH,SZ,3,100,3463.0
515881,600105,SH,SH,1,2000,0.0
515881,600130,SH,SH,1,1800,0.0
515881,600260,SH,SH,1,1800,0.0
515881,600345,SH,SH,1,300,0.0
515881,600487,SH,SH,1,3100,0.0
515881,600498,SH,SH,1,1600,0.0
515881,600522,SH,SH,1,5600,0.0
515881,600734,SH,SH,2,700,2128.0
515881,600745,SH,SH,1,800,0.0
515881,600775,SH,SH,1,900,0.0
515881,600776,SH,SH,1,1100,0.0
515881,601138,SH,SH,1,4100,0.0
515881,601869,SH,SH,1,200,0.0
515881,603083,SH,SH,1,200,0.0
515881,603118,SH,SH,1,1100,0.0
515881,603236,SH,SH,1,100,0.0
515881,603421,SH,SH,1,200,0.0
515881,603496,SH,SH,1,200,0.0
515881,603712,SH,SH,1,500,0.0
515881,603803,SH,SH,1,500,0.0
512991,000001,SH,SZ,3,2300,31326.0
512991,000002,SH,SZ,3,1200,31920.0
512991,000021,SH,SZ,3,200,4676.0
512991,000027,SH,SZ,3,400,2208.0
512991,000028,SH,SZ,3,100,4362.0
512991,000031,SH,SZ,3,300,1536.0
512991,000046,SH,SZ,3,500,1860.0
512991,000050,SH,SZ,3,200,2996.0
