ticker,exchange,name,product_type,size,price_tick,long_margin_rate,short_margin_rate,max_market_order_volume,min_market_order_volume,max_limit_order_volume,min_limit_order_volume,delivery_year,delivery_month
510010,SH,治理ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510020,SH,超大ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510030,SH,价值ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510050,SH,50ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510060,SH,央企ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510070,SH,民企ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510090,SH,责任ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510110,SH,周期ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510120,SH,非周ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510130,SH,中盘ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510150,SH,消费ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510160,SH,小康ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510170,SH,商品ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510180,SH,180ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510190,SH,龙头ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510210,SH,综指ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510220,SH,中小ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510230,SH,金融ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510300,SH,300ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510310,SH,HS300ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510330,SH,华夏300,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510350,SH,工银300,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510360,SH,广发300,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510380,SH,国寿300,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510390,SH,平安300,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510410,SH,资源ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510500,SH,500ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510510,SH,广发500,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510560,SH,国寿500,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510590,SH,平安500,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510600,SH,沪50ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510630,SH,消费行业,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510650,SH,金融行业,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510660,SH,医药行业,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510680,SH,万家50,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510710,SH,上50ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510800,SH,上证50,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510810,SH,上海国企,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510850,SH,工银上50,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
510880,SH,红利ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
511010,SH,国债ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
511020,SH,活跃国债,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
511030,SH,公司债,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
511220,SH,城投ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
511260,SH,十年国债,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
511270,SH,10年地债,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
511280,SH,中期信用,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
511290,SH,国债十年,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
511310,SH,十年债,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
511600,SH,货币ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
511620,SH,货币基金,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
511650,SH,华夏快线,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
511660,SH,建信添益,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
511670,SH,华泰天金,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
511690,SH,交易货币,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
511700,SH,场内货币,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
511770,SH,金鹰增益,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
511800,SH,易货币,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
511810,SH,理财金H,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
511820,SH,鹏华添利,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
511830,SH,华泰货币,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
511850,SH,财富宝E,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
511860,SH,博时货币,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
511880,SH,银华日利,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
511900,SH,富国货币,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
511910,SH,融通货币,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
511920,SH,广发货币,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
511930,SH,中融日盈,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
511950,SH,广发添利,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
511960,SH,嘉实快线,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
511970,SH,国寿货币,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
511980,SH,现金添富,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
511990,SH,华宝添益,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512000,SH,券商ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512070,SH,非银ETF,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
512090,SH,MSCI易基,Fund,1,0.001,1.0,1.0,0,0,0,0,0,0
